subid	image1	image2	condition	process
149	0.35247254	0.43463528	av	evap
150	0.50282574	0.54457915	av	evap
157	0.38569194	0.30354643	av	evap
158	0.37045527	0.259069	av	evap
159	0.3082207	0.32799965	av	evap
162	0.3944893	0.3433619	av	evap
163	0.5175688	0.35750172	av	evap
165	0.53532255	0.5405322	av	evap
169	0.39451855	0.4279855	av	evap
174	0.47706342	0.4111607	av	evap
175	0.40409914	0.35243785	av	evap
160	0.45476025	0.45979464	av	evap
145	0.39752173	0.42609918	av	evap
142	0.2905332	0.49197716	av	evap
141	0.53595245	0.5623126	av	evap
161	0.42518193	0.4738676	av	evap
144	0.5450182	0.5075862	av	evap
148	0.49364707	0.56236315	av	evap
164	0.4863146	0.46929753	av	evap
177	0.29803687	0.37242356	av	evap
168	0.44255233	0.46451432	av	evap
154	0.47586942	0.41587335	av	evap
153	0.31648248	0.25961214	av	evap
166	0.36036277	0.31132105	av	evap
143	0.42831257	0.52559805	av	evap
151	0.38513857	0.411335	av	evap
146	0.43111074	0.42866492	av	evap
147	0.52732635	0.476111	av	evap
167	0.40164638	0.3638971	av	evap
176	0.24489334	0.15809669	av	evap
143	0.6566828	0.51603794	av	precip
147	0.42360878	0.35586086	av	precip
165	0.6607965	0.48537928	av	precip
167	0.27695686	0.23831752	av	precip
145	0.4103337	0.3244579	av	precip
148	0.47459406	0.40986043	av	precip
154	0.37371475	0.2617158	av	precip
161	0.58117896	0.41644222	av	precip
168	0.54726696	0.58113146	av	precip
174	0.5667159	0.52623594	av	precip
175	0.6391499	0.54045963	av	precip
141	0.46687815	0.39701757	av	precip
158	0.49811	0.5439541	av	precip
159	0.3065533	0.3148064	av	precip
162	0.23969583	0.279444	av	precip
163	0.17049828	0.2102378	av	precip
164	0.42020607	0.39002067	av	precip
172	0.047825243	0.12839139	av	precip
150	0.4241595	0.3255729	av	precip
152	0.11234175	0.122190855	av	precip
169	-0.020738222	0.065971255	av	precip
111	0.19663961	0.21071625	audio	evap
112	0.32181326	0.30377176	audio	evap
113	0.08597638	0.016100304	audio	evap
115	0.353622	0.3733213	audio	evap
116	0.48801968	0.48750785	audio	evap
117	0.3053183	0.33111608	audio	evap
119	0.43344533	0.4353478	audio	evap
120	0.32153633	0.37852237	audio	evap
121	0.4380563	0.46108148	audio	evap
122	0.4575336	0.39978564	audio	evap
123	0.43264222	0.4431513	audio	evap
124	0.38897797	0.43820542	audio	evap
126	0.38850713	0.31240764	audio	evap
128	0.39315978	0.42497313	audio	evap
129	0.28782988	0.30048418	audio	evap
130	0.46821457	0.45421124	audio	evap
131	0.45586842	0.4863088	audio	evap
132	0.29676494	0.39620444	audio	evap
133	0.38174677	0.4123425	audio	evap
134	0.45121157	0.3787404	audio	evap
135	0.40424496	0.4426183	audio	evap
136	0.39458084	0.47335684	audio	evap
137	0.47202656	0.36165705	audio	evap
111	0.3218782	0.35983378	audio	precip
112	0.16825013	0.24033183	audio	precip
113	0.33399445	0.39589268	audio	precip
115	0.54404426	0.49181205	audio	precip
119	0.4806493	0.36724767	audio	precip
120	0.5632517	0.44853818	audio	precip
121	0.68389034	0.5467585	audio	precip
122	0.56746566	0.5148146	audio	precip
123	0.6437991	0.5257375	audio	precip
124	0.6546889	0.5016171	audio	precip
127	0.21079949	0.22698411	audio	precip
129	0.62427336	0.55639225	audio	precip
130	0.43381226	0.46362755	audio	precip
131	0.5504965	0.56488717	audio	precip
132	0.15371938	0.2568065	audio	precip
133	0.53870773	0.46809137	audio	precip
135	0.38834393	0.3779003	audio	precip
136	0.45460656	0.34298998	audio	precip
137	0.5862243	0.50653684	audio	precip
