id	age	gender	score	propscore	qtype	trial	cond	engage	engageaff	engagecog
100	7.48	m	3	1	mem	1	audio	NA	NA	NA
100	7.48	m	0	0	mem	2	audio	NA	NA	NA
100	7.48	m	1	1	mem	3	audio	NA	NA	NA
100	7.48	m	1	1	mem	4	audio	NA	NA	NA
100	7.48	m	1	1	mem	5	audio	NA	NA	NA
100	7.48	m	1	1	gen	6	audio	NA	NA	NA
100	7.48	m	1	1	gen	7	audio	NA	NA	NA
100	7.48	m	0	0	gen	8	audio	NA	NA	NA
100	7.48	m	1	1	gen	9	audio	NA	NA	NA
100	7.48	m	0	0	gen	10	audio	NA	NA	NA
102	7.06	f	0	0	mem	1	audio	3.1	3.3	3
102	7.06	f	0	0	mem	2	audio	3.1	3.3	3
102	7.06	f	0	0	mem	3	audio	3.1	3.3	3
102	7.06	f	0	0	mem	4	audio	3.1	3.3	3
102	7.06	f	0	0	mem	5	audio	3.1	3.3	3
102	7.06	f	0	0	gen	6	audio	3.1	3.3	3
102	7.06	f	1	1	gen	7	audio	3.1	3.3	3
102	7.06	f	0	0	gen	8	audio	3.1	3.3	3
102	7.06	f	1	1	gen	9	audio	3.1	3.3	3
102	7.06	f	1	1	gen	10	audio	3.1	3.3	3
103	7.09	f	2	0.666666667	mem	1	audio	3.6	3.6	3.6
103	7.09	f	0	0	mem	2	audio	3.6	3.6	3.6
103	7.09	f	0	0	mem	3	audio	3.6	3.6	3.6
103	7.09	f	0	0	mem	4	audio	3.6	3.6	3.6
103	7.09	f	0	0	mem	5	audio	3.6	3.6	3.6
103	7.09	f	1	1	gen	6	audio	3.6	3.6	3.6
103	7.09	f	1	1	gen	7	audio	3.6	3.6	3.6
103	7.09	f	0	0	gen	8	audio	3.6	3.6	3.6
103	7.09	f	1	1	gen	9	audio	3.6	3.6	3.6
103	7.09	f	0.5	0.5	gen	10	audio	3.6	3.6	3.6
104	7.06	f	1	0.333333333	mem	1	audio	1.5	1	1.8
104	7.06	f	0	0	mem	2	audio	1.5	1	1.8
104	7.06	f	0	0	mem	3	audio	1.5	1	1.8
104	7.06	f	1	1	mem	4	audio	1.5	1	1.8
104	7.06	f	0	0	mem	5	audio	1.5	1	1.8
104	7.06	f	1	1	gen	6	audio	1.5	1	1.8
104	7.06	f	1	1	gen	7	audio	1.5	1	1.8
104	7.06	f	1	1	gen	8	audio	1.5	1	1.8
104	7.06	f	1	1	gen	9	audio	1.5	1	1.8
104	7.06	f	0	0	gen	10	audio	1.5	1	1.8
105	8.02	f	0	0	mem	1	audio	3.12	4	2.6
105	8.02	f	0	0	mem	2	audio	3.12	4	2.6
105	8.02	f	1	1	mem	3	audio	3.12	4	2.6
105	8.02	f	0	0	mem	4	audio	3.12	4	2.6
105	8.02	f	0	0	mem	5	audio	3.12	4	2.6
105	8.02	f	1	1	gen	6	audio	3.12	4	2.6
105	8.02	f	1	1	gen	7	audio	3.12	4	2.6
105	8.02	f	0	0	gen	8	audio	3.12	4	2.6
105	8.02	f	1	1	gen	9	audio	3.12	4	2.6
