id	prim	sec
100	3	3
100	0	0
100	1	1
100	1	1
100	1	1
100	1	1
100	1	1
100	0	0
100	1	1
100	0	0
102	0	0
102	0	0
102	0	0
102	0	0
102	0	0
102	0	0
102	1	1
102	0	0
102	1	1
102	1	1
103	2.5	2.5
103	0	0
103	0	0
103	1	0
103	0	0
103	1	1
103	1	1
103	0	0
103	1	1
103	0.5	0
104	2	1.5
104	0	0
104	0	0
104	1	1
104	0	0
104	1	1
104	1	1
104	1	1
104	1	1
104	0	0
105	0	0
105	0	0
105	1	1
105	0	0
105	0	0
105	1	1
105	1	1
105	0	0
105	1	1
105	0	0
106	1	0.5
106	0	0
106	1	1
106	1	1
106	0	0
106	0	0
106	1	1
106	1	1
106	0	0
106	0	0
107	3	3
107	0	1
107	1	1
107	1	1
107	0	0
107	1	1
107	1	1
107	0	0
107	1	1
107	1	1
108	0	0
108	0	0
108	0	0
108	0	0
108	0	0
108	1	1
108	1	1
108	1	0
108	0	NA
108	1	1
109	3	3
109	1	1
109	1	1
109	1	1
109	0	0
109	1	1
109	1	1
109	1	1
109	1	1
109	0	1
110	3	3
110	0	0
110	1	1
110	1	1
110	0	0
110	1	1
110	1	1
110	0	0
110	1	1
110	0	0
111	3	3
111	0	0
111	1	1
111	1	1
111	0	0
111	1	1
111	1	1
111	0	0
111	1	1
111	1	1
112	0	0
112	0	0
112	1	1
112	0	0
112	0	0
112	1	1
112	1	1
112	0	0
112	1	1
112	1	1
113	0	0
113	0	0
113	1	1
113	0.5	0.5
113	0	0
113	1	1
113	1	1
113	0	0
113	0	0
113	1	1
114	3	3
114	1	1
114	1	1
114	1	1
114	0	0
114	1	1
114	1	1
114	1	1
114	1	1
114	1	1
115	0	0
115	0	0
115	1	1
115	0	0
115	0	0
115	1	1
115	1	1
115	0	0
115	0	0
115	0	1
116	3	3
116	1	1
116	1	1
116	1	1
116	0	0
116	1	1
116	1	1
116	0	0
116	1	1
116	0	0
117	3	3
117	0	0
117	1	1
117	0	0
117	0	0
117	1	1
117	1	1
117	0	0
117	1	1
117	0	0.5
118	3	3
118	0	0
118	0	0
118	0	0
118	0	0
118	1	1
118	1	1
118	0	0
118	0	0
118	1	1
119	0	0
119	0	0
119	0	0
119	0	0
119	0	0
119	0	0
119	0	0
119	0	0
119	1	1
119	0	0
120	0	0
120	0	0
120	0	1
120	0	0
120	1	1
120	0	1
120	1	1
120	0	0
120	1	0
120	0	0
121	3	3
121	0	0
121	0	0
121	1	1
121	1	0
121	0	0
121	1	1
121	1	1
121	1	1
121	1	1
122	0	0
122	0	0
122	1	1
122	1	1
122	0	0
122	0	0
122	1	1
122	1	1
122	1	1
122	0	0
123	0	0
123	0	0
123	1	1
123	1	1
123	0	0
123	1	1
123	1	1
123	1	1
123	1	1
123	0	1
124	3	3
124	0	0
124	1	1
124	1	1
124	1	1
124	1	1
124	1	1
124	0	0
124	1	1
124	1	1
125	3	2
125	0	0
125	1	1
125	0	0
125	0	0
125	1	1
125	1	1
125	1	1
125	1	1
125	1	1
126	3	3
126	0	0
126	0	0
126	1	1
126	0	0
126	1	1
126	1	1
126	0	0
126	1	1
126	0	0
127	0	0
127	0	0
127	0	0
127	0	0
127	0	0
127	0	0
127	1	1
127	1	1
127	1	1
127	0	0
128	0	0
128	0	0
128	0	0
128	1	1
128	0	0
128	1	1
128	1	1
128	1	1
128	0	0
128	0.5	1
129	3	3
129	0	0
129	0	0
129	1	1
129	0	0
129	1	1
129	1	1
129	0	0
129	1	1
129	1	0
130	0	0
130	0	0
130	0	0
130	1	1
130	0	0
130	1	1
130	1	1
130	0	0
130	1	1
130	0	0
131	3	3
131	1	1
131	1	1
131	1	1
131	0	0
131	1	1
131	1	1
131	0	0
131	1	1
131	1	1
132	3	3
132	1	1
132	1	1
132	0.5	0.5
132	0	0
132	1	1
132	1	1
132	0	0
132	1	1
132	0.5	0
133	1.5	2
133	0	0
133	1	1
133	0	0
133	0	0
133	1	1
133	1	1
133	1	1
133	0	0
133	0	0.5
134	2	2
134	0	0
134	1	1
134	0	0
134	0	0
134	1	1
134	1	1
134	0	0
134	0	0
134	0	0
135	0	0
135	0	0
135	0	0
135	1	1
135	0	0
135	1	1
135	1	1
135	1	1
135	1	1
135	1	1
136	0	0
136	0	0
136	1	1
136	1	1
136	0	0
136	0	0
136	1	1
136	1	1
136	0	0
136	1	1
137	0	0
137	0	0
137	1	1
137	0	0
137	0	0
137	1	1
137	1	1
137	1	1
137	1	1
137	0	0
141	3	1.5
141	0	0
141	1	1
141	1	1
141	0	0
141	1	1
141	0	0
141	0	0
141	1	1
141	0	0.5
142	3	3
142	0	0
142	1	1
142	0.5	0.5
142	0	0
142	0	0
142	1	1
142	0	0
142	1	1
142	1	1
143	0	0
143	0	0
143	1	1
143	0	0
143	0	0
143	1	1
143	1	1
143	1	1
143	0	0
143	1	0.5
144	1	3
144	0	0
144	1	1
144	1	1
144	0	0
144	1	1
144	1	1
144	0	0
144	1	1
144	1	1
145	0	0
145	0	0
145	1	1
145	1	1
145	0	0
145	1	1
145	1	1
145	0	0
145	0	0
145	0	0
146	2	2
146	0	0
146	1	1
146	0	0
146	0	0
146	1	1
146	1	1
146	1	0
146	0	0
146	1	1
147	2	2
147	1	1
147	1	1
147	1	1
147	0	0
147	1	1
147	1	1
147	0	0
147	1	1
147	0	0
148	3	3
148	0	0
148	0	0
148	1	1
148	1	1
148	1	1
148	1	1
148	1	1
148	1	1
148	1	1
149	3	3
149	0	0
149	1	1
149	1	1
149	0	0
149	1	1
149	1	1
149	0	0
149	0	0
149	1	1
150	0	0
150	0	0
150	0	0
150	0	0
150	0	0
150	0	0
150	1	1
150	0	0
150	1	1
150	1	1
